FEN,Evaluation
4q3/8/7R/6K1/8/6kP/8/8 w - - 12 60,-5884
3R4/5ppk/P1p4p/2p2b2/2P5/6P1/r7/b1K5 w - - 1 44,-5885
8/8/7P/8/5b2/5Kp1/1Bp5/3k4 b - - 0 74,-5886
8/7K/8/8/8/6q1/3k3p/7Q w - - 12 101,-5887
8/8/2B5/2p5/8/2r2n1R/3k2K1/8 b - - 0 74,-5888
8/8/8/2k1q3/8/5R2/3K4/8 b - - 5 97,-5889
2r5/4kp1p/2P3pB/2p5/7P/5P2/6P1/7K w - - 1 37,-589
8/8/8/1p5R/1k6/2p5/6r1/2K5 w - - 0 56,-5890
8/6p1/6P1/2k1Q1P1/8/8/P1pq1P1K/8 b - - 17 59,-5891
8/8/5k2/5pp1/3K4/5nPP/8/8 w - - 4 46,-5892
8/8/8/6Pp/1K3k2/1P6/8/8 b - - 0 59,-5893
5R2/kp6/8/8/PK6/4q3/8/8 w - - 7 52,-5894
8/8/8/8/5k2/2RK4/6q1/8 b - - 11 64,-5895
1K6/8/3Q4/8/8/4q3/4kp2/8 w - - 58 141,-5896
6K1/8/7P/2n4B/3b4/1p6/3k4/8 w - - 0 58,-5897
8/8/4b3/8/3k4/1p3p2/1N1K4/8 w - - 0 66,-5898
8/7p/2k5/pp4p1/P1K3P1/7P/8/8 w - - 0 56,-5899
r7/5k2/2bp4/4p3/2P1P3/1RKB3r/8/4R3 b - - 16 58,-59
r4rk1/p1p2ppp/2Q5/3B4/3pN1q1/5bP1/P4P1P/4R1K1 b - - 0 21,-590
8/8/8/1P4k1/3K1p2/P7/8/3b4 b - - 0 61,-5900
8/8/Q7/8/3q4/2k3P1/1p3P1K/8 w - - 6 71,-5901
8/8/8/8/p5k1/N6p/7K/3n4 b - - 3 65,-5902
3b4/8/3N4/7K/1P2R3/2P2kp1/P4r2/8 b - - 2 66,-5903
8/5n2/5K2/7P/p7/k7/8/8 b - - 3 59,-5904
8/7N/8/8/2pbpk1p/7P/3K4/8 w - - 0 50,-5905
8/8/8/8/1Rp3r1/8/2k3p1/6K1 b - - 3 82,-5906
8/7p/8/8/4p1P1/5k2/3K3P/8 w - - 0 47,-5907
5r2/1p3b2/5B2/P1p5/8/3k4/1K6/8 w - - 4 55,-5908
4r3/4k1PP/R7/8/8/pn4K1/8/3q4 w - - 0 57,-5909
5rk1/r3ppbp/b2p2p1/2p5/8/PQ3NNP/1P3PP1/1qB1R1K1 b - - 2 21,-591
n7/PK1k4/8/2p2p2/5P2/7p/8/6B1 w - - 0 59,-5910
6B1/8/7p/5p2/7n/6k1/4K3/8 w - - 6 54,-5911
6k1/R4p2/4p3/4r3/PP1n3b/8/6K1/8 b - - 0 43,-5912
8/6p1/7k/6p1/8/1p3P1P/8/3K4 b - - 0 59,-5913
k1q4r/1b6/pB1b4/5Q2/Pp6/3p3P/1P3R1K/R7 w - - 3 34,-5914
8/8/1N5p/K5k1/8/6p1/8/8 w - - 0 58,-5915
8/2p5/8/2kpKp1p/5P1P/8/8/8 w - - 0 51,-5916
6k1/6p1/p6p/2p1K1nP/P3r3/8/1P2B3/8 w - - 4 38,-5917
8/8/8/4P3/5P1K/5Q2/p6k/4q3 w - - 18 57,-5918
8/3k4/6p1/K7/5n1P/8/8/8 w - - 1 58,-5919
7r/p1k5/B1p1pp2/4P2p/4q1r1/P3n3/1P4PQ/R3R2K w - - 6 30,-592
8/6p1/1R2p1k1/3bP3/1p3PPp/7P/1r5K/6B1 w - - 2 37,-5920
8/1p3p2/5p2/5P2/1NPK3p/1k6/p7/8 w - - 2 67,-5921
8/4kn2/4n3/5p1p/p2p3P/1bp5/8/K5Q1 b - - 7 67,-5922
6R1/8/5p2/8/5kp1/r7/6K1/8 w - - 10 57,-5923
8/8/b7/8/4ppk1/8/5K2/3N4 b - - 3 67,-5924
8/2B5/8/4p1n1/6k1/7p/6K1/8 w - - 0 60,-5925
2r3k1/1p3p1p/p5p1/1NpP4/P3PnP1/2Q2P2/1P3q2/n4B1K w - - 0 28,-5926
8/p7/8/3P1n2/1k5p/4p3/PN5r/2R1K3 b - - 3 53,-5927
8/p7/7R/6p1/P7/2P5/2K1pk2/3r4 w - - 14 47,-5928
8/pr1k1ppp/2p1p3/R2n2b1/3P4/3R1P2/PP3P1P/6K1 b - - 11 24,-593
2r5/6P1/8/pk4K1/6P1/5P2/8/8 b - - 2 65,-5930
N7/8/8/3p1n2/1pk5/8/2K5/8 b - - 1 80,-5931
6k1/5pp1/8/4r2P/1b3K2/p1p5/R7/8 b - - 1 57,-5932
8/4Q3/8/5pp1/6k1/5q2/7K/8 w - - 4 75,-5933
8/8/8/Q6K/8/3q4/2p5/3k4 w - - 0 67,-5934
6r1/P7/5p1k/4p2p/4P3/7n/5p1K/2R5 b - - 1 56,-5935
8/8/8/4n1p1/3N2k1/5p2/5K2/8 w - - 0 61,-5936
2k4r/1pp5/2b5/P7/1pP3P1/6K1/3p4/5R2 w - - 0 34,-5937
8/7p/6p1/1K6/3k3P/8/8/8 w - - 0 51,-5938
8/6P1/5rK1/6P1/8/1k5q/8/8 w - - 0 74,-5939
r5r1/3kp3/3p2q1/2p2pP1/Pn3P2/1P2PQ1R/5K2/3R4 b - - 14 47,-594
4Q3/6p1/5q1p/3n2kP/5p2/6PK/8/8 w - - 0 57,-5940
8/6K1/5p1p/5P2/5P2/1pk5/8/8 w - - 1 54,-5941
8/8/4bkp1/P6p/5p1P/5P2/6PK/1r6 b - - 0 52,-5942
8/6p1/5p1p/p4P1P/3k2P1/8/3K4/8 w - - 2 46,-5943
8/8/8/2p3p1/1p1rR3/1PkpK3/P1rR4/8 w - - 0 57,-5944
5r1k/ppp3pp/3p4/8/P5Pn/8/5rP1/5RRK b - - 2 36,-5945
1k6/pp6/3b3p/8/2P3KP/6P1/8/4Nr2 b - - 0 44,-5946
8/5pp1/8/4P3/3p1P2/2pk4/rP4PP/1RK5 w - - 3 32,-5947
6R1/8/8/5p1p/4p3/5kP1/1r6/6K1 w - - 4 52,-5948
8/6r1/7r/2k1p3/R4n2/P4P1B/6PK/8 w - - 1 56,-5949
2n5/2n3k1/4bpp1/Rr5p/3B4/6P1/6BK/8 w - - 2 44,-595
8/8/8/1q6/8/4k3/3R4/3K4 w - - 35 106,-5950
8/6kp/2N1K1p1/p2p4/3r4/7P/b7/8 b - - 1 44,-5951
8/p2k4/8/1N4p1/P3Kp2/7r/8/8 w - - 0 55,-5952
8/4k1K1/6R1/5q2/8/8/8/8 b - - 59 85,-5953
4r1k1/8/p2p2pp/2pn3q/6p1/1Q4P1/6K1/B5N1 b - - 1 48,-5954
1r3k2/p4ppp/2p5/4r1b1/1nP5/P2R1BP1/7P/K2R4 b - - 0 26,-5955
5R2/8/8/4bn2/4pkp1/8/5K2/8 w - - 12 89,-5956
1B6/8/8/8/6p1/5kP1/2r5/6K1 b - - 6 73,-5957
8/8/p4R2/6P1/1P6/3B2k1/1r5r/4K3 b - - 2 51,-5958
8/p7/P2K4/8/1p6/1k6/8/8 w - - 0 52,-5959
8/1p6/p1r4p/4kp2/1P1p1R1P/P5P1/6K1/8 b - - 2 42,-596
8/8/8/3q4/5K2/3k2N1/8/8 w - - 16 74,-5960
1Q6/8/q7/8/2P4k/8/3R4/1K3r2 w - - 11 72,-5961
8/8/P2Q4/7p/3qk3/KP6/3p4/8 w - - 1 61,-5962
1R6/8/8/8/2p5/2k1K3/2pr2r1/R7 b - - 9 60,-5963
8/8/5R2/6q1/8/4k2K/8/8 w - - 0 96,-5964
8/R5pk/4p2p/5b2/5P2/6QP/1q2r1PK/8 b - - 1 57,-5965
8/7p/8/8/8/4K1k1/8/8 w - - 2 57,-5966
2k1r3/1p4Q1/p2R4/2nP3q/2P2p2/7p/P4PP1/6K1 w - - 0 54,-5967
8/8/2k2K2/8/3Rr3/2P1r1p1/1P6/8 w - - 4 60,-5968
6k1/6b1/8/P4nQ1/2p4K/1P1p1qP1/8/4R3 w - - 4 41,-5969
5r2/1R6/4k1p1/Pp6/6pP/4n1P1/1P6/6K1 b - h3 0 38,-597
8/2k5/8/q7/5K1P/4P1P1/8/8 b - - 3 83,-5970
3Q4/8/b5p1/5n1k/7n/P6K/6r1/8 w - - 5 45,-5971
7r/8/8/8/8/1kp1K2p/5P2/7R b - - 1 64,-5972
8/8/8/1K6/4q3/1P6/Q5p1/7k w - - 4 72,-5973
8/8/8/2Q5/K7/pp6/1k6/3q4 b - - 17 85,-5974
8/3B4/5k2/5p2/pq6/4R3/2K5/8 b - - 1 52,-5975
8/4Qpk1/3p3p/P2P4/4Pnp1/2Pn4/r7/6K1 w - - 0 50,-5976
8/kp6/2p5/p1P5/Pn6/1PQ5/4q3/1K6 w - - 4 80,-5977
8/8/8/6p1/5rk1/8/4K2p/2R5 w - - 0 73,-5978
5rk1/3Q2pp/3Rp3/8/2PNn3/4q1PP/1P5K/8 w - - 0 29,-5979
7k/1p2p3/p7/4b3/7q/2P5/PP2Q1K1/8 b - - 1 41,-598
8/8/2p5/2K5/3n1Pk1/7p/7B/8 b - - 7 60,-5980
8/4p2p/3p1Ppk/3P3n/4PP2/7P/7K/r3Q3 b - - 0 42,-5981
8/8/8/8/8/5kpp/1r6/2R4K w - - 4 69,-5982
8/5ppk/1b1p4/2p1n1P1/6P1/6K1/8/8 w - - 0 47,-5983
2K3k1/5p2/2p4r/1r6/4Q3/1p6/8/8 w - - 4 54,-5984
5B2/5p1k/5P2/p7/P3pb2/3p4/1P3K2/8 b - - 3 46,-5985
7k/1r2b2p/p3p2Q/3pP3/2pPP1N1/3n3P/q5P1/6K1 w - - 2 35,-5986
7k/3bq2p/1p4r1/p1pPp2R/P1P1Pp1Q/1PN2n2/7P/7K w - - 0 36,-5987
8/8/1Q6/4k3/2p3P1/1p4K1/4q3/8 b - - 5 49,-5988
8/p1p5/2P1R3/3q4/6pk/7p/4R3/7K w - - 4 73,-5989
8/2Q3k1/4q3/4pp2/6p1/6P1/7K/8 b - - 1 74,-599
8/8/8/5B2/3kPK2/7P/8/2q5 w - - 5 62,-5990
8/8/8/4q3/6R1/8/7K/5k2 w - - 45 101,-5991
7k/7p/6pB/8/2pK4/1p1p1P1P/6P1/8 b - - 0 41,-5992
8/p7/6pk/4pb2/8/6q1/P2R1R2/6K1 w - - 5 48,-5993
8/6k1/3B4/3P1p2/4q3/6PK/8/8 w - - 1 54,-5994
8/p5k1/1b1p2p1/2nP2Pp/1pP1pK1P/1P5b/8/5R2 w - - 2 44,-5995
1R6/5k2/4p3/3b3p/5pP1/5Pq1/1R4P1/7K b - - 0 57,-5996
8/8/8/8/5Kp1/1pk3P1/5P2/8 b - - 1 48,-5997
8/8/P4k2/5p2/5np1/5N1p/1P6/1K6 b - - 0 44,-5998
8/p7/2N5/PPb4p/3pk3/4p3/2K4P/8 w - - 0 57,-5999
rn1q1rk1/1bp2ppp/1p1ppn2/8/1pPP4/5NP1/PPQNPPBP/R4RK1 b - - 1 10,-6
8/8/8/8/R5p1/2KN2kn/1P3r2/8 b - - 3 61,-60
4k3/pR5p/8/3pP1n1/1B3b2/1P5P/6r1/4K3 b - - 0 40,-600
8/1p4pp/2p5/2kp1p2/1p3b2/P1K2P1P/8/8 w - - 0 37,-6000
6k1/5p2/6pp/4p3/2p1K1P1/7P/8/8 w - - 0 37,-6001
6k1/8/1P2p3/3pb3/5N1p/8/1Q4PK/4q3 w - - 0 53,-6002
8/p7/8/2p5/5p1b/1P5p/P1N1k2K/8 w - - 2 75,-6003
6k1/4pp2/6p1/2pPq3/P6P/2r4K/6BP/5Q2 w - - 5 55,-6004
r3r1k1/p1p2ppp/3p1n2/8/2p5/B1P5/P1QK2P1/qN6 w - - 0 24,-6005
5R2/2p5/1p1b2B1/3P4/2P2kpp/6r1/4K3/8 b - - 9 52,-6006
8/8/1k6/pP6/P5p1/5p2/6p1/7K w - - 0 51,-6007
8/b7/6p1/7p/4kP2/6PP/6K1/8 w - - 1 51,-6008
4r1k1/p2n1p1p/2p3pP/6P1/2PKb3/7N/P1r1BR2/n7 b - - 3 27,-6009
6k1/pp1r2p1/2pBp1qp/4P3/5p2/1P3Pr1/P1P1Q3/2KR4 w - - 3 34,-601
8/6p1/6K1/p1pk4/P7/2p1n3/7P/1B6 w - - 3 50,-6010
7k/p5b1/7p/8/4pP1B/4p1PP/1P1qQ2K/8 w - - 3 37,-6011
6k1/6p1/7p/3qpP2/8/R3Q1P1/3n4/2r2NK1 w - - 8 57,-6012
8/8/8/4q2p/1p1R3P/pPP2k2/P7/1KN5 b - - 0 44,-6013
8/4q2K/8/8/8/8/1pQ5/4k3 w - - 6 105,-6014
6K1/6R1/3q2k1/8/8/8/8/8 b - - 72 114,-6015
b7/8/P5k1/2B5/2K2p2/6p1/8/8 b - - 1 55,-6016
1b6/5p2/P4k2/7p/4K3/7p/6P1/8 w - - 0 47,-6017
4r1k1/2P3pp/N2b4/Pp1Np3/3rK3/6P1/8/8 w - - 3 44,-6018
1N6/8/3k4/2pn1p1p/7P/3K4/8/8 w - - 4 51,-6019
2r3k1/4qp1p/1R1p2p1/3P4/4PP1r/3B4/1P3Q1P/6K1 b - - 6 31,-602
3b1r2/8/1p1k4/pPpP1P2/P1P1p1P1/4K3/4B3/7r w - - 2 59,-6020
4q3/1k3p2/2r1p2p/7P/Q5R1/2n1B1P1/5P2/1K6 w - - 4 45,-6021
8/R5kp/4Pb2/5P2/8/3p3P/2p2K2/8 b - - 1 42,-6022
7k/1p5p/8/2P1ppb1/1P2p1q1/3rP2r/P3RQP1/5R1K w - - 0 46,-6023
7R/6K1/8/p7/8/kp6/8/8 b - - 0 52,-6024
8/6pp/4K3/4PP2/k5PP/8/8/1q6 b - - 0 47,-6025
8/8/4r1k1/3Q1pp1/8/8/4r3/5K2 b - - 1 59,-6026
8/8/8/4r3/3KB1p1/5pk1/R5n1/8 b - - 5 80,-6027
6k1/6p1/4Q2p/1P2p2P/4P3/6PK/1q6/2q5 b - - 3 76,-6028
8/7p/1k4p1/p7/1b3Pp1/1Bpp3P/P7/2K5 w - - 0 63,-6029
4R3/8/6p1/3K3p/k5r1/8/8/8 b - - 3 67,-603
8/8/7B/pp1k3p/2b3pP/2K1PP2/1P6/8 b - - 0 53,-6030
2b2rk1/4pp1p/3p2p1/1ppP3P/4PQn1/1P3PN1/5qK1/5B1R w - - 3 24,-6031
8/4R3/p2pBp1k/b2P1Pp1/4K3/4B1p1/4b2r/8 w - - 1 41,-6032
7k/p5qp/8/1p1B4/1P2nQ2/P5P1/3p1q1K/6R1 w - - 2 53,-6033
3Q4/5p2/q4nk1/8/8/1KP3pR/8/8 b - - 3 57,-6034
8/pQ3pk1/3p2p1/2p5/8/K7/PPqb1P2/8 w - - 1 44,-6035
4n1k1/pp3ppp/2pp4/5P2/3P4/6KP/P1P1r3/8 b - - 1 32,-6036
1r6/8/4bkp1/7p/P4p1P/5P2/6PK/1R6 b - - 0 51,-6037
8/8/6pk/6p1/6qp/2Q5/7K/8 b - - 1 56,-6038
8/2kr4/7P/8/1p6/1p4K1/1Pp5/4R3 b - - 0 43,-6039
8/7p/3r2k1/6P1/P6P/3pN3/8/4K3 b - - 1 45,-604
2R3k1/pp4p1/7r/n7/P5K1/8/7p/8 b - - 1 43,-6040
6k1/5p2/2p2n1p/4qN2/3pr1pK/7N/1r4PP/1B1R1Q2 b - - 3 37,-6041
8/8/7p/p1p2K2/P1P5/1Pk1b2P/8/8 w - - 6 65,-6042
8/5k1p/2qp1n2/K3pP1N/8/Ppp1P3/1P5Q/8 b - - 1 46,-6043
8/4k3/3NpP1p/3n4/6K1/R4PP1/1r6/7r b - - 0 54,-6044
8/5p2/3Q1nk1/6p1/4p3/5r1p/7K/8 w - - 0 66,-6045
8/2b2p1p/2B2PpN/6P1/5r1P/3p4/4k1K1/8 w - - 0 56,-6046
4k3/p3pp1Q/3p4/3q4/1P6/P1p3P1/6K1/8 w - - 0 39,-6047
8/4b3/6p1/5P2/4N1P1/4K3/1pk5/8 w - - 0 55,-6048
8/8/8/Q3p3/4r1p1/2p1r3/3k2PK/8 w - - 0 68,-6049
5rk1/1q2bppp/p1r1p3/3n4/Pp1N4/1P2B1P1/Q3PPbP/R2R2K1 w - - 0 21,-605
8/8/8/1n4k1/5p2/5Pp1/6K1/8 w - - 8 62,-6050
8/p7/6p1/5k1p/1P2bP1P/4K3/2r5/8 w - - 0 38,-6051
1b6/p4k2/1p6/1P4p1/P3rpP1/5K2/8/8 w - - 0 50,-6052
8/P7/5p2/8/2B4p/5b1P/2K1pk2/8 w - - 0 53,-6053
4n1k1/pp2rppp/2pp4/5P2/3P4/7P/P1P1q2K/5Q2 w - - 4 31,-6054
6k1/4K2p/6p1/3P4/2p2P2/1p4P1/1N6/5b2 b - - 1 39,-6055
8/p7/8/5p2/1P5p/3pk3/7r/3R2K1 b - - 1 51,-6056
3r2k1/6p1/6np/pp2pp2/2P3P1/P3PR2/8/1r1BK3 w - - 1 39,-6057
6k1/6p1/7p/4Q1P1/7P/1p4K1/2q5/8 b - - 5 48,-6058
7r/pb2kp2/1p1p1p1p/1q2p3/2r1n1P1/P1P3KP/1BQ5/4R3 w - - 2 33,-6059
8/p7/1pR1k3/8/P2KPq2/4N1p1/8/8 b - - 5 52,-606
r5k1/6pp/3pb3/p3p3/2p1P3/P6P/2r1n1P1/2B1R2K w - - 2 28,-6060
B7/5p2/5n2/4k3/2P1bp2/P4K2/8/8 w - - 1 59,-6061
2N5/8/p7/8/8/P3k1pp/3N1p2/5K2 w - - 2 50,-6062
8/2r3kp/6p1/4q3/B7/2pQ2RP/5rP1/6K1 b - - 2 50,-6063
1r6/N4pp1/Ppk4p/7b/8/4K3/7P/8 b - - 0 42,-6064
2r3k1/7p/3p1p1P/R2Pb1p1/2r3P1/5P2/1p6/1R1K4 w - - 2 36,-6065
8/5k2/5p2/5ppp/5P2/6K1/8/8 w - - 2 54,-6066
2k3r1/2p5/p2p4/P2P1p2/2Pp4/3P1nrP/3R1K2/6R1 b - - 1 35,-6067
8/2r4p/2P2p2/3P4/2k1P2P/4K3/8/5r2 w - - 1 54,-6068
8/3PR3/3q1pk1/2p1p1p1/2K5/2P5/8/8 w - - 1 65,-6069
5B2/pp3p2/2kn4/P1p5/4p3/1PP3q1/1K2Q3/8 b - - 1 38,-607
8/8/5K2/p1pk4/P6P/4n3/8/8 b - - 2 53,-6070
8/3nkp2/6p1/P3p2p/1P2P2P/8/2r5/4K3 w - - 0 50,-6071
8/6k1/3R4/6P1/2r4p/3p4/2p2K2/1rB5 w - - 2 58,-6072
8/3n4/8/2pP4/2P5/3N2k1/3K3p/8 w - - 2 58,-6073
Q2r3k/6p1/4n2p/4p2P/P7/2P1PP2/1P2K3/6q1 w - - 3 38,-6074
8/Q4pk1/6p1/7p/p5PP/5K2/8/3q4 w - - 1 40,-6075
8/8/p1p5/3k4/1P4p1/P2K4/8/8 w - - 0 45,-6076
5n2/6pk/N6p/1p6/4P3/PP2KP2/6q1/8 w - - 0 41,-6077
4r1k1/8/3p2p1/3P2PQ/1p2q3/7P/8/2R2K2 w - - 0 38,-6078
5R2/7p/3pk3/5PK1/3r4/7P/2p5/8 b - - 0 50,-6079
6R1/8/8/6p1/5p2/3r3P/3k2K1/8 b - - 15 84,-608
8/6kp/4P3/6P1/3K1P2/8/8/7q b - - 0 70,-6080
8/4K2p/6p1/8/8/4k3/7P/8 w - - 1 73,-6081
8/4kp2/7P/5KP1/3P4/4P3/8/7q w - - 1 61,-6082
6k1/3B1p2/6pp/7q/P1R2b1n/5b2/5K1P/5R2 w - - 0 34,-6083
8/p5p1/7p/1p3PPP/1P6/3K1k2/P3p3/8 w - - 0 48,-6084
4R1bk/5Bp1/7p/2q4P/p7/6P1/8/6K1 w - - 6 56,-6085
b3r1k1/6p1/5p2/8/4q3/6Pp/3R1Q1P/5NK1 w - - 1 50,-6086
6kb/3P1p2/8/1pp3B1/5P2/3b2K1/1r6/6r1 w - - 2 42,-6087
8/2kn3Q/2n3P1/8/5P2/8/1p4K1/2r5 w - - 0 58,-6088
8/5pkp/3p4/1p1Pn3/2p1P3/8/4r1PK/2R5 w - - 0 41,-6089
3r1rk1/p1b2pp1/1pp4p/P3pN2/1P2Pnq1/1BP1B3/7P/R4QnK w - - 0 30,-609
8/ppq3PK/8/8/8/P7/1k5P/8 b - - 0 45,-6090
8/3b2k1/p2p1pp1/2pPp1n1/P1P1P1P1/6Br/1r1bBP2/R2K1R2 w - - 0 29,-6091
6k1/2p2p1p/8/8/8/5R2/3r2Pq/4RK2 w - - 0 32,-6092
5r1k/4p2p/3p3b/2pP4/1n5q/1P2B3/1P1KN1QP/r5R1 w - - 0 29,-6093
8/1pkr4/2p5/6K1/2nr4/p7/2Q5/8 b - - 1 46,-6094
8/p7/5k2/P4p2/8/4K3/2p5/8 w - - 0 50,-6095
8/3r1qkp/2b3p1/4R3/8/6PP/4RNK1/8 w - - 4 48,-6096
1Q2Rbk1/5p1p/6p1/2r5/qP6/8/4P3/6K1 b - - 3 42,-6097
8/3K2k1/3q1pP1/3P4/5b2/1Q6/8/8 w - - 7 69,-6098
1k6/p1q2Q1p/Pp6/1P3R2/4p3/7P/6P1/3r3K w - - 1 39,-6099
3r2k1/1p3qp1/p2pr2p/4pn1b/2P1Np2/1PP2P1P/P3Q1P1/2BRR1K1 w - - 1 29,-61
2R5/1p4kp/2p1npp1/4p3/6PP/1r2NK2/8/8 w - - 1 48,-610
8/8/5p2/7Q/1K5P/p3q1Pk/8/8 b - - 1 56,-6100
8/8/8/3bk3/4n3/1r6/2K5/2R5 w - - 12 58,-6101
8/8/1p5p/4p3/k1p1PpbP/2P5/8/4K1N1 w - - 0 45,-6102
2R1nk1r/5p2/3p1P2/1q6/1p3P1p/7P/4R2K/8 w - - 2 74,-6103
8/8/4p2p/3k1p2/8/1p2K1P1/3R3P/q7 b - - 1 50,-6104
8/7p/6p1/6K1/8/5k2/7P/8 b - - 4 74,-6105
8/8/8/3bk3/4n3/1r6/2K5/4R3 b - - 13 58,-6106
6k1/5pp1/1P2p2p/2QpP3/5P1P/1q4PK/p7/8 w - - 0 44,-6107
8/6P1/2b3K1/1k6/pn3R2/8/8/6r1 w - - 3 50,-6108
8/6p1/6p1/p2k4/4p3/2K3P1/7P/8 w - - 0 53,-6109
4b1k1/8/3BPn2/3P2p1/1p5p/1p1B3P/r4bP1/3R3K w - - 2 40,-611
8/8/8/8/P1q5/K1k5/1R6/8 w - - 3 75,-6110
8/7p/4p1p1/KP6/P2Pk3/8/5p1P/8 w - - 0 39,-6111
8/5ppk/P3p2p/4Q3/3p4/3n4/6rP/2K5 w - - 4 37,-6112
8/p1P1R1bk/1p4pp/2p5/P7/5q1n/7K/8 w - - 0 45,-6113
8/r7/8/8/1R2k3/8/5p1p/7K b - - 7 78,-6114
8/4kppR/1p2p3/3b4/5P2/6P1/r4b1P/2R2K2 b - - 7 35,-6115
8/1p4k1/p3pr2/P3p1Q1/2N1P3/1qP3Pp/7P/7K b - - 0 43,-6116
8/8/5pp1/6k1/4P3/5p2/7Q/1q1q1BK1 w - - 0 52,-6117
6bK/8/8/1k6/pn3R2/8/8/6r1 b - - 1 52,-6118
6k1/5p2/6p1/1Q6/1p1N1Pn1/4rB1K/4Nq2/8 b - - 4 55,-6119
6k1/6p1/3p3p/1p1b1P2/3q2P1/1n2R2P/5Q1K/8 b - - 10 54,-612
8/3r3p/5k2/2n1p3/1Q1b2b1/8/8/5K2 w - - 0 51,-6120
6k1/pp3r2/3P3p/6p1/1P6/P3Pq1b/3R3P/4RNK1 w - - 0 39,-6121
5r1k/5p1p/p4N2/R1pP4/3b4/5Q1q/5N1B/6K1 b - - 0 33,-6122
8/5qpk/Q2p3p/3Pp3/3n3P/4N1P1/pr3PK1/5R2 b - - 3 48,-6123
8/2Q5/p4qpk/1p6/1P4p1/P3p3/8/1K6 w - - 8 58,-6124
8/8/p1p2p2/PbPp2kp/3P4/2K2N2/8/8 b - - 8 46,-6125
4nr1k/4QP1p/1p4P1/7p/8/8/p1q4K/8 w - - 4 76,-6126
8/8/3n4/2Kbk3/8/8/4r3/2R5 w - - 6 55,-6127
5r1k/4Q2p/4P3/p2p1P2/2pP4/2P5/p5KP/6r1 w - - 2 38,-6128
8/p7/8/P3kp2/8/8/2pK4/8 w - - 2 51,-6129
2bq1rk1/p2nppbp/3p1np1/2pP4/2P1P3/2N2N2/PrQ1BPPP/R3K2R w KQ - 0 12,-613
6k1/5pp1/8/2b1P3/5B2/6RP/r5BK/3r4 b - - 5 34,-6130
2kr4/pp4pp/5p2/8/8/b2R4/P4P1P/6K1 b - - 0 34,-6132
8/5p2/8/3p3p/3Q2pP/2p2qP1/5P1K/2k5 w - - 6 100,-6133
8/pQ2p1kp/3p2p1/P7/3br3/7P/1P2brP1/R6K b - - 0 27,-6134
8/7p/6p1/pb1p4/3k4/5P2/3K2PP/8 b - - 0 37,-6135
3Q4/5pk1/2b1p3/2q3p1/P3P1P1/5BKP/1p6/8 w - - 0 57,-6136
6k1/1p2Bp2/p3b1p1/8/1P2K2P/4R3/4r1r1/8 b - - 0 34,-6137
6k1/6p1/p6p/2qR1K1P/r7/5P2/3Q4/8 b - - 3 48,-6138
8/8/5p2/5p1p/5PkP/6P1/6RK/5q2 w - - 0 77,-6139
6k1/5p2/p2p3p/1p1P2p1/1P2P3/PR6/4KP2/1r1n4 w - - 2 45,-614
8/6k1/3p1p2/p1p2Pn1/2P2K2/P7/1r4r1/4Q3 b - - 7 54,-6140
8/6p1/4k2p/p7/2r5/4p2P/4R1P1/5K2 b - - 1 49,-6142
1r1qr3/6k1/3b3p/3P4/1pp1p1bP/5pN1/1P3P1K/3RRQ2 w - - 2 37,-6144
8/8/3p1k2/2prp1p1/4n1P1/2p5/8/R3K3 b - - 3 54,-6145
5r1k/1p4p1/2p4p/8/PP6/6PP/2Q2N2/5K1q w - - 3 40,-6146
5b2/6pk/7p/4Q3/1pq2P2/6P1/6K1/8 w - - 8 65,-6147
2Q5/8/4n3/5k2/1P2b1p1/7r/5K2/8 b - - 5 61,-6148
8/2N1Pk2/p2p1P2/1p2r3/2r5/P1K5/1P4P1/8 w - - 1 60,-6149
4rrk1/1p3pp1/p2pq2p/6nR/8/4B1P1/P1P1Q1KP/3R4 w - - 0 35,-615
8/8/5p1p/1p5P/p3k3/P1P2p2/4K3/8 w - - 0 49,-6150
6k1/pp3pp1/3r3p/6P1/2b4P/2P5/P6K/8 b - - 0 26,-6151
5rk1/p4ppp/5B2/4p3/4N2Q/6PP/P3bP2/1q4K1 w - - 0 22,-6152
8/6pk/5p2/3p4/1p3PP1/6KP/8/8 b - - 0 71,-6153
6Q1/8/3p1p2/4q2p/6pk/8/6K1/8 w - - 4 73,-6154
8/6pk/7p/2q5/5b1P/6P1/1p1N1P1K/5N2 w - - 0 52,-6156
8/7p/1K4p1/p7/8/P6k/8/4b3 w - - 0 45,-6157
3k4/1p1r1r2/p3R3/P3K3/3p4/8/8/8 w - - 2 55,-6158
8/p1k2p2/PpNp4/3P1p2/8/6P1/1P1q1K2/8 w - - 1 35,-6159
8/8/5n1p/8/p5k1/N7/7K/8 b - - 5 59,-616
8/6rk/7p/2p5/2P5/1P1p3Q/P5q1/6K1 w - - 0 42,-6160
8/p5Q1/kpp2K2/8/8/8/8/6q1 b - - 4 49,-6161
7k/pB4p1/1P1bp3/P7/8/7P/5KP1/1Q5q b - - 6 41,-6162
5rk1/3QRp2/7p/p2P2p1/8/1q3R2/4KP1r/8 b - - 3 50,-6163
8/8/pp3kp1/2p4p/2P2pb1/8/PP1r4/R4K2 b - - 1 38,-6165
8/8/p1p1P1k1/2P3P1/7K/8/1p6/8 w - - 0 55,-6166
